PLAYER_NAME,TEAM_ABBREVIATION,POSITION,MISSING_TEAM_USG,PREV_AVG_MIN,PRED_PTS
Dylan Harper,SAS,SG,31.16501244647648,24.210593072384057,12.969578110764168
Rayan Rupert,MEM,SG,149.8069553229373,29.070583947489133,12.950793609002314
Jordan Poole,NOP,PG,13.709002421963397,26.47030595489538,12.827833650816519
Ousmane Dieng,MIL,C,140.23922571189343,28.53112424105516,12.81452168233652
Klay Thompson,DAL,SF,102.85497521809197,24.02711374802598,12.766065971573534
Quenton Jackson,IND,PG,123.076244562748,25.087221191908075,12.576643528164938
Keldon Johnson,SAS,SF,31.16501244647648,23.08037143704676,12.464709840234564
Kenrich Williams,OKC,PF,17.10672433673957,25.94526992293721,12.428956531830503
Svi Mykhailiuk,UTA,SG,124.25715472951893,24.952742172498876,12.428259494865125
Collin Gillespie,PHX,PG,29.65398804493872,29.594559850948475,12.312980663501133
Jared McCain,OKC,SG,17.10672433673957,25.533405535085304,12.288442098674349
Jalen Pickett,DEN,SG,67.83228034307038,29.089465199121886,12.282864858941496
Scottie Barnes,TOR,PF,19.221655712760796,31.97423558367132,12.264238085365038
Mark Williams,PHX,C,29.65398804493872,25.49790246695896,12.196075733089826
Yanic Konan Niederhäuser,LAC,C,30.664131383611533,25.240652963770373,12.025930590202744
Tre Johnson,WAS,SG,97.38091172453582,24.199121026700453,12.016753217785954
Josh Okogie,HOU,SG,10.2330940799291,25.192772252675592,12.003889935320066
Julian Champagnie,SAS,SF,31.16501244647648,26.54989100322611,11.977265308785771
Christian Braun,DEN,SG,67.83228034307038,30.836264604676124,11.929491540420281
Moussa Diabaté,CHA,C,0.0,27.79430604129771,11.908852701253108
Derrick White,BOS,SG,0.0,34.15762782092952,11.903323150792271
Thomas Bryant,CLE,C,30.618053421982125,22.91216962524655,11.86463910439229
Jonas Valančiūnas,DEN,C,67.83228034307038,23.982102379551776,11.83486842914106
Hugo González,BOS,SF,0.0,27.022467490793986,11.81342609033418
Ajay Mitchell,OKC,SG,17.10672433673957,26.283845717676602,11.793662163595535
Julian Phillips,CHI,SF,135.14127642451837,23.43569321533923,11.733099297547783
Patrick Williams,CHI,PF,135.14127642451837,25.017882874148604,11.636723356417052
Keon Ellis,CLE,SG,30.618053421982125,27.310185487086432,11.580757812104748
Kasparas Jakučionis,MIA,PG,25.72224337251657,26.640127267455807,11.578395509374479
Jonathan Kuminga,ATL,PF,16.850201076321216,25.178206171649734,11.521038946855585
Tyson Etienne,BKN,PG,92.08461996352997,24.6525641025641,11.483090678046695
