Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
137,Kevin Huerter,27,CHI,SF,23,8,549,108,224,.482,40,119,.336,68,105,.648,.571,28,34,.824,11,63,74,55,22,15,30,48,284,0,,huertke01
138,Gary Trent Jr.,27,MIL,SG,29,17,799,97,251,.386,64,174,.368,33,77,.429,.514,25,31,.806,4,35,39,48,25,2,22,46,283,0,,trentga02
139,Peyton Watson,23,DEN,SF,26,16,683,105,204,.515,30,73,.411,75,131,.573,.588,43,60,.717,29,94,123,42,23,29,31,56,283,0,,watsope01
140,AJ Green,26,MIL,SG,26,26,743,89,189,.471,81,173,.468,8,16,.500,.685,20,25,.800,2,70,72,54,14,3,23,69,279,0,,greenaj01
141,Jordan Clarkson,33,NYK,SG,28,0,558,104,233,.446,36,112,.321,68,121,.562,.524,33,43,.767,25,31,56,43,11,5,35,57,277,0,,clarkjo01
142,Tre Jones,26,CHI,PG,22,11,604,91,175,.520,10,35,.286,81,140,.579,.549,83,96,.865,13,51,64,115,36,6,33,32,275,0,,jonestr01
143,Davion Mitchell,27,MIA,PG,27,27,822,109,214,.509,29,73,.397,80,141,.567,.577,23,36,.639,10,61,71,207,33,2,41,76,270,0,,mitchda01
144,Neemias Queta,26,BOS,C,27,27,663,118,178,.663,0,3,.000,118,175,.674,.663,34,57,.596,83,130,213,43,19,33,22,80,270,0,,quetane01
145,Vit Krejci,25,ATL,PG,26,1,609,91,181,.503,67,145,.462,24,36,.667,.688,18,24,.750,11,49,60,42,19,7,21,62,267,0,,krejcvi01
146,Jarace Walker,22,IND,PF,29,12,717,87,255,.341,40,134,.299,47,121,.388,.420,52,65,.800,15,124,139,57,17,12,53,50,266,0,,walkeja02
147,Simone Fontecchio,30,MIA,SF,28,1,543,85,219,.388,57,155,.368,28,64,.438,.518,38,48,.792,13,71,84,49,11,5,27,46,265,0,,fontesi01
148,Jarrett Allen,27,CLE,C,19,19,492,102,173,.590,0,4,.000,102,169,.604,.590,60,77,.779,42,98,140,38,19,18,30,31,264,0,,allenja01
149,Donovan Clingan,21,POR,C,25,25,651,100,195,.513,19,66,.288,81,129,.628,.562,44,66,.667,113,143,256,44,15,40,21,61,263,0,,clingdo01
150,Isaiah Stewart,24,DET,C,26,7,592,97,183,.530,24,62,.387,73,121,.603,.596,42,58,.724,53,107,160,29,6,51,32,80,260,0,,stewais01
151,Kyle Filipowski,22,UTA,C,27,10,615,93,195,.477,24,73,.329,69,122,.566,.538,46,64,.719,45,127,172,58,13,13,32,74,256,0,,filipky01
152,Tobias Harris,33,DET,PF,19,19,547,91,208,.438,26,79,.329,65,129,.504,.500,48,58,.828,21,73,94,48,11,6,19,43,256,0,,harrito02
153,Coby White,25,CHI,SG,12,10,354,80,181,.442,25,84,.298,55,97,.567,.511,69,87,.793,5,37,42,62,8,0,34,27,254,0,,whiteco01
154,Svi Mykhailiuk,28,UTA,SG,27,27,685,95,198,.480,54,134,.403,41,64,.641,.616,9,10,.900,18,50,68,53,13,3,23,36,253,0,,mykhasv01
155,Tristan Da Silva,24,ORL,SF,26,10,602,94,214,.439,42,115,.365,52,99,.525,.537,22,27,.815,21,80,101,30,21,6,25,32,252,0,,dasiltr01
156,Kristaps Porziņģis,30,ATL,C,13,12,337,83,167,.497,24,66,.364,59,101,.584,.569,59,69,.855,19,54,73,40,6,21,12,44,249,0,,porzikr01
157,Ja Morant,26,MEM,PG,14,14,392,81,227,.357,13,67,.194,68,160,.425,.385,73,79,.924,7,42,49,105,13,3,50,29,248,0,,moranja01
158,Darius Garland,26,CLE,PG,14,14,424,83,210,.395,34,96,.354,49,114,.430,.476,47,53,.887,11,32,43,95,12,2,40,27,247,0,,garlada01
159,Brice Sensabaugh,22,UTA,SF,27,1,448,83,198,.419,40,119,.336,43,79,.544,.520,39,44,.886,18,54,72,33,17,5,22,47,245,0,,sensabr01
160,Aaron Gordon,30,DEN,PF,13,13,368,82,154,.532,28,63,.444,54,91,.593,.623,52,60,.867,19,58,77,17,10,3,18,24,244,0,,gordoaa01
161,Isaiah Joe,26,OKC,SG,20,0,452,75,164,.457,56,133,.421,19,31,.613,.628,38,41,.927,12,46,58,31,12,4,19,36,244,0,,joeis01
162,Isaiah Hartenstein,27,OKC,C,21,21,576,105,160,.656,0,4,.000,105,156,.673,.656,33,52,.635,73,149,222,65,25,17,44,59,243,0,,harteis01
163,Jonas Valančiūnas,33,DEN,C,28,0,365,101,173,.584,3,12,.250,98,161,.609,.592,38,51,.745,41,91,132,33,6,16,29,55,243,0,,valanjo01
164,Jose Alvarado,27,NOP,PG,29,0,648,88,204,.431,49,131,.374,39,73,.534,.551,17,21,.810,13,68,81,94,30,4,37,58,242,0,,alvarjo01
