TEAM,POSITION,PTS,L5_PTS
CHI,SF,18.95,40.0
WAS,PG,20.49,31.5
CHI,C,19.03,31.33
MIN,SF,17.43,31.25
DAL,PG,20.42,30.25
POR,PG,20.97,29.0
ORL,PF,15.65,28.25
CHI,PG,19.44,28.0
MIA,SF,19.2,27.0
NOP,C,16.68,25.5
